year,rank,code,name
2026,22,247540,에코프로비엠
2026,23,298040,효성중공업
2026,24,000270,기아
2026,25,105560,KB금융
2026,26,267260,HD현대일렉트릭
2026,27,000150,두산
2026,28,010140,삼성중공업
2026,29,005490,POSCO홀딩스
2026,30,068270,셀트리온
2026,31,055550,신한지주
2026,32,028260,삼성물산
2026,33,051910,LG화학
2026,34,003670,포스코퓨처엠
2026,35,207940,삼성바이오로직스
2026,36,047810,한국항공우주
2026,37,352820,하이브
2026,38,010120,LS일렉트릭
2026,39,141080,리가켐바이오
2026,40,066570,LG전자
2026,41,066970,엘앤에프
2026,42,010130,고려아연
2026,43,214450,파마리서치
2026,44,086790,하나금융지주
2026,45,316140,우리금융지주
2026,46,000810,삼성화재
2026,47,454910,두산로보틱스
2026,48,128940,한미약품
2026,49,071050,한국금융지주
2026,50,034730,SK
