strategy,window,cum,bench_cum,sharpe,bench_sharpe,mdd,y2022,y2023,y2024,y2025
M2_PIT_top10_c0.1%,IS_2022-03~2025-12,+257.7%,+72.8%,1.13,0.77,-35.2%,-17%/-18%,+81%/+26%,+19%/-4%,+101%/+74%
M2_PIT_top10_c0.3%,IS_2022-03~2025-12,+245.2%,+72.8%,1.1,0.77,-35.2%,-18%/-18%,+79%/+26%,+18%/-4%,+99%/+74%
KODEX200_B&H(시총가중_프록시),IS_2022-03~2025-12,+81.3%,+72.8%,0.91,0.77,-22.6%,-18%/-18%,+25%/+26%,-9%/-4%,+94%/+74%
M2_PIT_top10_c0.1%,OOS_2026-01~2026-07-08,+77.6%,+27.2%,2.06,1.21,-24.4%,,,,
M2_PIT_top10_c0.3%,OOS_2026-01~2026-07-08,+76.4%,+27.2%,2.04,1.21,-24.4%,,,,
KODEX200_B&H(시총가중_프록시),OOS_2026-01~2026-07-08,+93.0%,+27.2%,2.43,1.21,-21.2%,,,,
